date,station,mean_temp_c
1988-06-01,poolik,11.532410614731326
1988-06-02,poolik,8.003261470966839
1988-06-03,poolik,8.50166926293544
1988-06-04,poolik,4.310498582189049
1988-06-05,poolik,9.563075900518996
1988-06-06,poolik,8.100203779044824
1988-06-07,poolik,5.559354362588877
1988-06-08,poolik,12.706684089911331
1988-06-09,poolik,15.958213142188715
1988-06-10,poolik,21.46842131327699
1988-06-11,poolik,16.120633053383052
1988-06-12,poolik,11.5693657229361
1988-06-13,poolik,11.617419561370381
1988-06-14,poolik,16.657761541143646
1988-06-15,poolik,15.504811076848638
1988-06-16,poolik,7.674561819121216
1988-06-17,poolik,11.39521995732433
1988-06-18,poolik,14.659327474431617
1988-06-19,poolik,14.78728855944391
1988-06-20,poolik,11.772792961607877
1988-06-21,poolik,14.103541554116434
1988-06-22,poolik,9.416576972215239
1988-06-23,poolik,8.339377468482043
1988-06-24,poolik,10.636376817105
1988-06-25,poolik,16.312612194011518
1988-06-26,poolik,15.426341744283
1988-06-27,poolik,14.732125627230495
1988-06-28,poolik,15.489852573147566
1988-06-29,poolik,16.599543121257252
1988-06-30,poolik,17.563026236722287
1988-07-01,poolik,18.042037298687557
1988-07-02,poolik,20.07778633400656
1988-07-03,poolik,19.401242363049498
1988-07-04,poolik,15.262783195688236
1988-07-05,poolik,16.497787846986665
1988-07-06,poolik,18.181336751853397
1988-07-07,poolik,15.416513976330549
1988-07-08,poolik,14.533427305020279
1988-07-09,poolik,15.46936359065942
1988-07-10,poolik,16.164772658986458
1988-07-11,poolik,16.132593904691316
1988-07-12,poolik,16.988399098135307
1988-07-13,poolik,20.032751165486626
1988-07-14,poolik,20.406730798540668
1988-07-15,poolik,17.46780194066499
1988-07-16,poolik,18.49774927371902
1988-07-17,poolik,11.990664783274543
1988-07-18,poolik,13.639181707134009
1988-07-19,poolik,13.775816179937722
1988-07-20,poolik,11.880532854943366
1988-07-21,poolik,6.09807614084709
1988-07-22,poolik,6.3593154220894315
1988-07-23,poolik,8.591718806017951
1988-07-24,poolik,11.334317558469879
1988-07-25,poolik,14.102445360326714
1988-07-26,poolik,13.925425764979945
1988-07-27,poolik,15.304855322329532
1988-07-28,poolik,16.911688536408732
1988-07-29,poolik,15.14777427488064
1988-07-30,poolik,14.877801428300934
1988-07-31,poolik,12.0945603938878
1988-08-01,poolik,10.698363393753773
1988-08-02,poolik,13.4569746910308
1988-08-03,poolik,9.189674119710904
1988-08-04,poolik,11.673900250521772
1988-08-05,poolik,15.270870130087546
